,subjid,instructionloops,strategy,helpstrategy,howtoimprove,engagement,difficulty,externalhelp,gender,education,major,age,expNum,iid
167,167,1,"I just tried to remember the cards in A.  My initial attempt at forming a rule failed, so I just went with memory.",,none,10.0,3.0,nohelp,man,masters,mathscience,53.0,0,167
168,168,4,good,,good task,8.0,8.0,nohelp,man,masters,humanities,36.0,0,168
169,169,1,Just did my best to try to remember the shapes in the code,,None,8.0,3.0,nohelp,man,somecollege,noresponse,29.0,0,169
170,170,1,"I had no strategy, i only followed the instructions and learn from the test stage.",,"I really like the task, i love challenging my memory.",10.0,5.0,nohelp,woman,masters,engineering,33.0,0,170
171,171,1,,,,0.0,8.0,nohelp,woman,somecollege,socialscience,33.0,0,171
172,172,2,"I just repeated the phrase ""2 small triangles, big white triangle and small white square in group A"" over and over again, once I learned they were all in group A. I didn't have to remember the rest as I knew the rest would be in group B.",,"For a $10 bonus, maybe make a bit more difficult. Maybe 12-16 shapes instead.",8.0,2.0,nohelp,man,somecollege,business,27.0,0,172
173,173,2,just remembering which shapes belong to which group,,tricky since there are no hints,8.0,5.0,nohelp,man,bachelors,other,27.0,0,173
174,174,1,I try to remember all the rules.,,Winning percentage is very low.,8.0,9.0,nohelp,man,bachelors,business,36.0,0,174
175,175,1,no,,good study,3.0,8.0,nohelp,man,masters,mathscience,30.0,0,175
176,176,1,I just tried to memorize the shapes in only one group,,Nothing,10.0,8.0,nohelp,woman,bachelors,business,60.0,0,176
177,177,5,None,,No,9.0,5.0,nohelp,man,bachelors,socialscience,31.0,0,177
178,178,1,No strategy.,,"Offering a large bonus will just encourage people to cheat (and to lie about cheating.) It's also painful to lose a large bonus by just a couple of numbers. Quit dangling carrots over lower income people, it only hurts them and encourages them to give bad data.",2.0,3.0,nohelp,woman,highschool,noresp,33.0,0,178
179,179,2,None,,,10.0,3.0,nohelp,woman,highschool,noresp,38.0,0,179
180,180,3,I tried to reason and find any pattern. ,,It was good. ,10.0,7.0,nohelp,man,somecollege,noresponse,25.0,0,180
181,181,2,Tried to memorize one group only so I automatically knew group B by process of elimination,,,10.0,6.0,noresponse,man,somecollege,engineering,25.0,0,181
182,182,3,Just tried to remember as best I could which shape of which color and size went where by repeating it aloud,,,10.0,5.0,nohelp,man,somecollege,noresp,29.0,0,182
183,183,1,None,,None,9.0,9.0,nohelp,man,bachelors,noresp,27.0,0,183
184,184,1,i concentrate the task,,"very interesting study, good experience",5.0,2.0,nohelp,man,masters,business,28.0,0,184
185,185,2,Own memory,,,10.0,8.0,nohelp,woman,somehs,noresponse,42.0,0,185
186,186,2,"Just made distinctions between shape/size/color, and immediately noticed that all squares of any size and color were left (group 1), all triangles were right (group 2).",,No issues!,8.0,2.0,nohelp,man,highschool,noresp,35.0,0,186
187,187,2,,,No.,5.0,5.0,nohelp,man,bachelors,engineering,27.0,0,187
188,188,5,I don't use my strategies.,,Interesting task,8.0,8.0,nohelp,woman,masters,business,58.0,0,188
189,189,1,"I just kind of went based on my short term memory. I would go with my natural instincts for my initial guess, and if it was wrong I would make a mental note to answer opposite next time.",,"It was fun, thanks!",8.0,4.0,nohelp,man,bachelors,business,34.0,0,189
190,190,2,none,,no,7.0,9.0,nohelp,woman,somecollege,noresp,47.0,0,190
191,191,3,just tried to remember it all instead of finding a rule,,none,9.0,7.0,nohelp,man,bachelors,business,34.0,0,191
192,192,1,I tried to pay attention to similarities,,,5.0,5.0,nohelp,woman,bachelors,socialscience,22.0,0,192
193,193,1,Based on instruction,,Good interesting,7.0,7.0,nohelp,woman,bachelors,socialscience,36.0,0,193
194,194,2,"I repeated stuff like ""small black square group a"" over and over aloud.",,"The bonus system designed for this task, combined with why people do mturk strongly incentivizes writing down the answers.",5.0,8.0,nohelp,man,bachelors,mathscience,58.0,0,194
195,195,4,No strategy,,Nothing,5.0,5.0,nohelp,man,bachelors,humanities,42.0,0,195
196,196,5,No strategeis,,That was hard,4.0,9.0,nohelp,man,somegrad,engineering,30.0,0,196
197,197,2,none,,no,6.0,4.0,nohelp,man,highschool,noresp,33.0,0,197
198,198,3,Just memory,,"No, I wish I won the bonus",10.0,0.0,nohelp,man,highschool,noresponse,32.0,0,198
199,199,5,no,no,no,7.0,2.0,nohelp,man,masters,business,29.0,0,199
200,200,4,None.,None.,"None, thanks!",6.0,7.0,nohelp,man,masters,socialscience,71.0,0,200
201,201,3,UNDERSTANDING THE INSTRUCTIONS,,NICE,9.0,5.0,nohelp,woman,bachelors,business,31.0,0,201
202,202,1,No particular strategy,,,5.0,7.0,nohelp,man,highschool,noresp,44.0,0,202
203,203,2,just tried to memorize them,,no,7.0,4.0,nohelp,man,bachelors,business,46.0,0,203
204,204,2,none,,none,8.0,7.0,nohelp,woman,somecollege,noresponse,34.0,0,204
205,205,3,None,,None. this is also good task.,8.0,3.0,nohelp,man,bachelors,business,59.0,0,205
206,206,1,na,,na,8.0,8.0,nohelp,man,bachelors,engineering,28.0,0,206
207,207,3,I didn't have any particular strategies.,,The instructions were a bit drawn out. This task might be a bit underpaid if the worker does not win the bonus.,5.0,1.0,nohelp,man,bachelors,socialscience,33.0,0,207
208,208,2,Just remembering the features.,,"that clock thing was not fair, after doing all that hard memory task...",10.0,8.0,nohelp,man,somecollege,humanities,39.0,0,208
209,209,3,"While doing any test I always try to look for patterns to help me remember. I noticed that all of the squares were in the ""A"" group, except the big clear square. I did the same with the triangles, realizing all of them were in the ""B"" group, except for the large clear triangle. So I kept saying in my head over and over again...triangles ""B"" except large clear, and squares ""A"" except large clear. This made it pretty simple. ",,"I love puzzles like this, and enjoyed doing it!",9.0,2.0,nohelp,man,somecollege,other,43.0,0,209
210,210,3,,,,10.0,0.0,noresp,man,masters,humanities,35.0,0,210
211,211,3,No,,No,8.0,8.0,nohelp,woman,somegrad,engineering,26.0,0,211
212,212,3,I just remembered which type of shapes in which group.,,Too lengthy instructions and bonus chance is slim.,3.0,5.0,nohelp,man,masters,noresponse,32.0,0,212
213,213,1,"I couldn't figure out the ""rule"" so I just tried to memorize which went in each group.",,,9.0,7.0,nohelp,woman,bachelors,other,36.0,0,213
214,214,1,I just tried to remember what was in each group.,,None,10.0,2.0,nohelp,woman,bachelors,socialscience,27.0,0,214
215,215,1,NO STRATEGY,,,10.0,9.0,nohelp,man,highschool,noresp,34.0,0,215
216,216,1,"I tried to remember the pattern, I saw most of the squares are in Group B and made my choice accordingly.",,I was very interesting and intense. I enjoyed it.,9.0,9.0,nohelp,woman,bachelors,business,33.0,0,216
217,217,1,"I saw that there were clear groups except for one outlier of each group, so I just remembered the basic groups and the single outlier",,No,4.0,0.0,nohelp,man,masters,other,38.0,0,217
218,218,5,None,,,3.0,10.0,nohelp,woman,bachelors,humanities,58.0,0,218
